iter	Accuracy	Logloss
0	0.8582089552	0.6536422458
1	0.8596722271	0.619156584
2	0.8596722271	0.5888646287
3	0.8596722271	0.5617998071
4	0.8602575359	0.5383194978
5	0.8602575359	0.5180201684
6	0.8601112087	0.5000858168
7	0.8596722271	0.4841225909
8	0.8596722271	0.4702438318
9	0.8596722271	0.4577909406
10	0.8596722271	0.4472319008
11	0.8596722271	0.4379279752
12	0.8596722271	0.4293891002
13	0.8596722271	0.4218483335
14	0.8596722271	0.4153907927
15	0.8596722271	0.4093352479
16	0.8596722271	0.4041539617
17	0.8596722271	0.3995613249
18	0.8596722271	0.3953058062
19	0.8596722271	0.3929544876
20	0.8596722271	0.3897277635
21	0.8596722271	0.3870080105
22	0.8596722271	0.3842794043
23	0.8596722271	0.381870415
24	0.8596722271	0.3807007202
25	0.8596722271	0.378688816
26	0.8596722271	0.3769098839
27	0.8596722271	0.3759234234
28	0.8598185543	0.3744269948
29	0.8598185543	0.3730969727
30	0.8598185543	0.37185673
31	0.8598185543	0.3707934017
32	0.8598185543	0.3697717248
33	0.8598185543	0.3688449136
34	0.8598185543	0.367976671
35	0.8598185543	0.3672735831
36	0.8598185543	0.3665537194
37	0.8598185543	0.3661933853
38	0.8598185543	0.3657119898
39	0.8598185543	0.3654573455
40	0.8598185543	0.3649882342
41	0.8599648815	0.3644556849
42	0.8598185543	0.3640663612
43	0.8598185543	0.3637755758
44	0.8599648815	0.3634064038
45	0.8598185543	0.3631103462
46	0.8599648815	0.3628374377
47	0.8599648815	0.3625950191
48	0.8599648815	0.3623535459
49	0.8599648815	0.3621746133
50	0.8599648815	0.3619556449
51	0.8599648815	0.3617532776
52	0.8599648815	0.3616325644
53	0.8599648815	0.3615544335
54	0.8599648815	0.3613854228
55	0.8598185543	0.3612860684
56	0.8598185543	0.3611617001
57	0.8598185543	0.3610824483
58	0.8598185543	0.3609650847
59	0.8598185543	0.3609157364
60	0.8598185543	0.3607688493
61	0.8596722271	0.3606562707
62	0.8596722271	0.3605809134
63	0.8596722271	0.3604573429
64	0.8599648815	0.3603319381
65	0.8598185543	0.3602600243
66	0.8601112087	0.3602409442
67	0.8601112087	0.3601548562
68	0.8601112087	0.3601149177
69	0.8601112087	0.3600431044
70	0.8601112087	0.359954561
71	0.8601112087	0.3598710072
72	0.8601112087	0.3597877625
73	0.8601112087	0.3597773722
74	0.8601112087	0.3596993212
75	0.8601112087	0.3596908571
76	0.8601112087	0.3596413837
77	0.8601112087	0.3595918995
78	0.8601112087	0.359560112
79	0.8601112087	0.3595031285
80	0.8601112087	0.3594133529
81	0.8601112087	0.3593368654
82	0.8601112087	0.3593002879
83	0.8601112087	0.359266755
84	0.8601112087	0.3592358312
85	0.8601112087	0.3592230107
86	0.8601112087	0.3591644219
87	0.8601112087	0.3591150914
88	0.8601112087	0.3591028915
89	0.8601112087	0.3590899599
90	0.8601112087	0.3590446236
91	0.8601112087	0.3589985615
92	0.8601112087	0.3589980742
93	0.8601112087	0.358925897
94	0.8601112087	0.3588445559
95	0.8601112087	0.3588065665
96	0.8599648815	0.3587562352
97	0.8601112087	0.3586665306
98	0.8601112087	0.3586346813
99	0.8601112087	0.3585739506
100	0.8601112087	0.3585294968
101	0.8599648815	0.3585134741
102	0.8601112087	0.3584911041
103	0.8601112087	0.3584238386
104	0.8601112087	0.3583390427
105	0.860403863	0.3582865303
106	0.8605501902	0.3582103507
107	0.860403863	0.3581716551
108	0.8606965174	0.3581425576
109	0.8606965174	0.3581069172
110	0.8605501902	0.3580339459
111	0.8605501902	0.3580104095
112	0.8605501902	0.357984403
113	0.8605501902	0.3579731035
114	0.8605501902	0.3579690489
115	0.8606965174	0.3579155269
116	0.8606965174	0.3579129644
117	0.8606965174	0.3578610818
118	0.8606965174	0.3578461241
119	0.8608428446	0.3577950545
120	0.8608428446	0.3577457557
121	0.8608428446	0.3577089935
122	0.8608428446	0.3576879433
123	0.861135499	0.3576555598
124	0.861135499	0.3576452943
125	0.861135499	0.3576252085
126	0.8612818262	0.357596825
127	0.8612818262	0.3575688454
128	0.8612818262	0.3575426557
129	0.8612818262	0.3574765101
130	0.8612818262	0.3574638709
131	0.861135499	0.3574292214
132	0.861135499	0.3574020023
133	0.8614281534	0.3573689557
134	0.8614281534	0.3573674777
135	0.8612818262	0.3573364932
136	0.8612818262	0.3573236606
137	0.8612818262	0.3573221426
138	0.8612818262	0.357299502
139	0.8612818262	0.3572556912
140	0.8612818262	0.3572257204
141	0.861135499	0.3571827606
