iter	Passed	Remaining
0	176	176706
1	196	98118
2	215	71696
3	236	58796
4	258	51410
5	278	46124
6	297	42146
7	317	39401
8	340	37504
9	362	35892
10	383	34523
11	405	33390
12	427	32449
13	449	31656
14	471	30938
15	491	30246
16	514	29751
17	549	29956
18	571	29530
19	591	29002
20	625	29168
21	646	28720
22	665	28280
23	686	27913
24	696	27182
25	717	26873
26	737	26589
27	757	26281
28	783	26221
29	803	25984
30	825	25804
31	846	25604
32	868	25447
33	887	25218
34	907	25027
35	928	24863
36	946	24645
37	965	24448
38	985	24292
39	1018	24446
40	1040	24333
41	1064	24280
42	1085	24165
43	1114	24212
44	1140	24206
45	1159	24050
46	1182	23978
47	1257	24936
48	1283	24904
49	1307	24850
50	1331	24776
51	1351	24633
52	1370	24496
53	1394	24429
54	1416	24343
55	1442	24317
56	1466	24262
57	1486	24150
58	1509	24078
59	1530	23981
60	1553	23912
61	1573	23798
62	1613	23998
63	1632	23882
64	1653	23788
65	1673	23679
66	1708	23786
67	1730	23718
68	1751	23626
69	1775	23582
70	1797	23524
71	1817	23421
72	1836	23320
73	1868	23377
74	1886	23270
75	1907	23197
76	1926	23092
77	1946	23004
78	1965	22911
79	1984	22819
80	2002	22724
81	2023	22656
82	2043	22571
83	2062	22486
84	2079	22387
85	2098	22306
86	2123	22282
87	2143	22211
88	2165	22168
89	2192	22167
90	2215	22133
91	2237	22084
92	2248	21927
93	2266	21850
94	2286	21778
95	2305	21714
96	2325	21648
97	2344	21574
98	2363	21506
99	2382	21443
100	2405	21410
101	2427	21368
102	2447	21317
103	2470	21286
104	2511	21403
105	2531	21352
106	2554	21321
107	2574	21260
108	2595	21218
109	2617	21174
110	2636	21113
111	2654	21047
112	2674	20993
113	2695	20948
114	2715	20896
115	2734	20842
116	2760	20832
117	2781	20792
118	2802	20746
119	2822	20698
120	2842	20648
121	2862	20600
122	2883	20557
123	2903	20508
124	2922	20456
125	2941	20405
126	2961	20355
127	2987	20354
128	3007	20308
129	3026	20254
130	3045	20204
131	3065	20158
132	3086	20119
133	3104	20064
134	3125	20028
135	3147	19993
136	3168	19960
137	3190	19929
138	3210	19884
139	3232	19854
140	3252	19814
141	3273	19777
142	3292	19731
143	3313	19697
144	3333	19656
145	3353	19612
146	3372	19570
147	3392	19530
148	3413	19493
149	3432	19450
150	3452	19411
151	3478	19405
152	3497	19362
153	3522	19351
154	3543	19315
155	3562	19273
156	3581	19228
157	3599	19183
158	3618	19141
159	3638	19101
160	3660	19075
161	3679	19035
162	3698	18990
163	3716	18946
164	3736	18909
165	3756	18871
166	3776	18835
167	3796	18802
168	3817	18770
169	3837	18737
170	3862	18724
171	3882	18691
172	3901	18650
173	3921	18614
174	3942	18583
175	3976	18614
176	3995	18577
177	4013	18534
178	4031	18491
179	4052	18462
180	4071	18422
181	4089	18381
182	4109	18344
183	4129	18311
184	4174	18388
185	4193	18350
186	4211	18310
187	4232	18279
188	4251	18244
189	4296	18315
190	4328	18333
191	4353	18319
192	4376	18301
193	4399	18276
194	4421	18254
195	4444	18230
196	4465	18202
197	4485	18168
198	4507	18141
199	4553	18214
200	4573	18180
201	4592	18143
202	4611	18106
203	4631	18071
204	4651	18039
205	4671	18005
206	4691	17972
207	4711	17938
208	4736	17927
209	4756	17894
210	4777	17864
211	4797	17832
212	4818	17803
213	4838	17772
214	4859	17741
215	4878	17706
216	4901	17684
217	4924	17664
218	4945	17636
219	4971	17624
220	4991	17595
221	5011	17564
222	5032	17533
223	5053	17505
224	5074	17479
225	5101	17470
226	5124	17449
227	5148	17432
228	5169	17403
229	5189	17373
230	5210	17344
231	5230	17315
232	5250	17283
233	5269	17249
234	5288	17214
235	5307	17180
236	5327	17151
237	5347	17119
238	5367	17092
239	5389	17066
240	5417	17063
241	5440	17041
242	5462	17018
243	5499	17037
244	5519	17009
245	5567	17064
246	5586	17031
247	5607	17003
248	5628	16974
249	5652	16956
250	5671	16924
251	5690	16892
252	5711	16862
253	5730	16830
254	5754	16811
255	5775	16784
256	5793	16748
257	5814	16721
258	5834	16691
259	5853	16661
260	5874	16633
261	5895	16607
262	5914	16573
263	5941	16563
264	5961	16533
265	5981	16504
266	6001	16475
267	6020	16443
268	6039	16412
269	6059	16384
270	6085	16369
271	6113	16363
272	6134	16336
273	6154	16307
274	6174	16278
275	6193	16247
276	6213	16217
277	6231	16184
278	6277	16222
279	6297	16194
280	6318	16167
281	6337	16136
282	6391	16192
283	6414	16172
284	6438	16153
285	6463	16136
286	6492	16129
287	6515	16106
288	6539	16088
289	6562	16067
290	6586	16047
291	6619	16048
292	6639	16020
293	6658	15989
294	6679	15962
295	6724	15994
296	6744	15965
297	6767	15942
298	6787	15913
299	6807	15883
300	6831	15865
301	6850	15833
302	6871	15806
303	6890	15774
304	6910	15745
305	6930	15718
306	6951	15691
307	6969	15659
308	6989	15629
309	7008	15599
310	7027	15569
311	7049	15545
312	7068	15515
313	7091	15491
314	7110	15461
315	7140	15455
316	7159	15426
317	7180	15399
318	7199	15368
319	7219	15340
320	7239	15313
321	7259	15286
322	7279	15256
323	7299	15228
324	7317	15198
325	7344	15184
326	7363	15154
327	7384	15129
328	7403	15100
329	7429	15083
330	7448	15053
331	7469	15028
332	7489	15001
333	7508	14972
334	7528	14944
335	7548	14917
336	7567	14888
337	7602	14889
338	7621	14861
339	7641	14832
340	7661	14805
341	7680	14777
342	7700	14749
343	7721	14725
344	7743	14700
345	7762	14671
346	7780	14642
347	7802	14618
348	7826	14598
349	7849	14577
350	7872	14555
351	7896	14536
352	7917	14511
353	7939	14488
354	7958	14460
355	7983	14442
356	8003	14415
357	8024	14390
358	8043	14362
359	8067	14342
360	8089	14319
361	8109	14293
362	8130	14267
363	8149	14240
364	8171	14215
365	8191	14189
366	8211	14162
367	8231	14136
368	8251	14109
369	8273	14086
370	8293	14060
371	8316	14040
372	8345	14027
373	8374	14016
374	8399	13999
375	8424	13981
376	8451	13966
377	8476	13948
378	8502	13931
379	8524	13908
380	8551	13894
381	8572	13868
382	8591	13840
383	8612	13815
384	8632	13790
385	8653	13765
386	8672	13737
387	8692	13711
388	8711	13683
389	8730	13654
390	8752	13633
391	8774	13608
392	8794	13583
393	8813	13555
394	8849	13554
395	8872	13532
396	8891	13505
397	8916	13486
398	8939	13464
399	8963	13444
400	8985	13421
401	9009	13401
402	9031	13378
403	9050	13352
404	9071	13327
405	9091	13301
406	9111	13275
407	9131	13249
408	9151	13223
409	9170	13196
410	9192	13173
411	9210	13145
412	9234	13125
413	9254	13099
414	9275	13074
415	9293	13046
416	9328	13042
417	9351	13020
418	9370	12993
419	9390	12967
420	9409	12940
421	9429	12915
422	9450	12890
423	9469	12863
424	9487	12836
425	9509	12813
426	9530	12788
427	9549	12762
428	9568	12735
429	9590	12712
430	9609	12686
431	9628	12660
432	9648	12634
433	9667	12607
434	9686	12581
435	9706	12556
436	9729	12534
437	9748	12508
438	9769	12483
439	9787	12457
440	9809	12433
441	9829	12409
442	9852	12387
443	9872	12362
444	9890	12335
445	9911	12311
446	9931	12286
447	9951	12261
448	9972	12237
449	9992	12213
450	10012	12187
451	10034	12165
452	10056	12143
453	10076	12118
454	10095	12092
455	10116	12069
456	10140	12049
457	10193	12062
458	10212	12036
459	10231	12011
460	10252	11986
461	10271	11961
462	10290	11934
463	10308	11907
464	10329	11884
465	10348	11858
466	10367	11832
467	10387	11807
468	10410	11786
469	10430	11761
470	10450	11737
471	10469	11712
472	10519	11719
473	10539	11696
474	10558	11670
475	10578	11645
476	10598	11620
477	10617	11594
478	10655	11589
479	10674	11563
480	10692	11537
481	10712	11512
482	10733	11488
483	10752	11463
484	10772	11438
485	10791	11413
486	10815	11393
487	10835	11367
488	10854	11342
489	10873	11316
490	10892	11291
491	10912	11267
492	10932	11242
493	10951	11217
494	10983	11205
495	11001	11179
496	11031	11164
497	11051	11139
498	11070	11115
499	11091	11091
500	11111	11067
501	11142	11053
502	11168	11034
503	11201	11023
504	11224	11002
505	11245	10979
506	11295	10983
507	11314	10958
508	11332	10931
509	11351	10906
510	11371	10881
511	11391	10857
512	11413	10835
513	11435	10812
514	11457	10790
515	11488	10776
516	11519	10761
517	11545	10743
518	11569	10722
519	11594	10702
520	11617	10681
521	11643	10661
522	11666	10640
523	11711	10639
524	11734	10617
525	11760	10597
526	11785	10577
527	11833	10578
528	11864	10563
529	11885	10540
530	11910	10519
531	11931	10495
532	11966	10484
533	11986	10460
534	12004	10433
535	12028	10412
536	12046	10386
537	12066	10361
538	12085	10336
539	12104	10310
540	12124	10286
541	12143	10261
542	12165	10239
543	12189	10217
544	12208	10192
545	12228	10168
546	12250	10144
547	12267	10118
548	12287	10093
549	12307	10069
550	12326	10044
551	12346	10020
552	12367	9997
553	12389	9974
554	12413	9952
555	12443	9937
556	12485	9930
557	12518	9916
558	12556	9905
559	12580	9884
560	12603	9862
561	12626	9840
562	12649	9818
563	12670	9795
564	12691	9771
565	12714	9748
566	12736	9726
567	12755	9701
568	12774	9676
569	12794	9651
570	12813	9627
571	12836	9604
572	12872	9592
573	12892	9568
574	12925	9553
575	12946	9530
576	12965	9505
577	12987	9482
578	13018	9466
579	13038	9441
580	13056	9416
581	13076	9391
582	13095	9367
583	13116	9343
584	13136	9319
585	13158	9296
586	13177	9271
587	13195	9246
588	13214	9221
